"","series","episode","uk_airdate","viewers_7day","viewers_28day","network_rank","channels_rank","bbc_iplayer_requests","episode_count","us_season","us_airdate","finale"
"1",1,1,2010-08-17,2.24,7,NA,NA,NA,1,NA,NA,"FALSE"
"2",1,2,2010-08-24,3,3,NA,NA,NA,2,NA,NA,"FALSE"
"3",1,3,2010-08-31,3,2,NA,NA,NA,3,NA,NA,"FALSE"
"4",1,4,2010-09-07,2.6,4,NA,NA,NA,4,NA,NA,"FALSE"
"5",1,5,2010-09-14,3.03,1,NA,NA,NA,5,NA,NA,"FALSE"
"6",2,1,2011-08-16,3.1,2,NA,NA,NA,7,NA,NA,"FALSE"
"7",2,2,2011-08-23,3.53,2,NA,NA,NA,8,NA,NA,"FALSE"
"8",2,3,2011-08-30,3.82,1,NA,NA,NA,9,NA,NA,"FALSE"
"9",2,4,2011-09-06,3.6,1,NA,NA,NA,10,NA,NA,"FALSE"
"10",2,5,2011-09-13,3.83,1,NA,NA,NA,11,NA,NA,"FALSE"
"11",2,6,2011-09-20,4.25,1,NA,NA,NA,12,NA,NA,"FALSE"
"12",2,7,2011-09-27,4.42,1,NA,NA,NA,13,NA,NA,"FALSE"
"13",3,1,2012-08-14,3.85,1,NA,NA,NA,15,5,"June 22, 2018","FALSE"
"14",3,2,2012-08-21,4.6,1,NA,NA,NA,16,5,"June 22, 2018","FALSE"
"15",3,3,2012-08-28,4.53,1,NA,NA,NA,17,5,"June 29, 2018","FALSE"
"16",3,4,2012-09-04,4.71,1,NA,NA,NA,18,5,"July 6, 2018","FALSE"
"17",3,5,2012-09-11,4.61,1,NA,NA,NA,19,5,"July 13, 2018","FALSE"
"18",3,6,2012-09-18,4.82,1,NA,NA,NA,20,5,NA,"FALSE"
"19",3,7,2012-09-25,5.1,1,NA,NA,NA,21,5,NA,"FALSE"
"20",3,8,2012-10-02,5.35,1,NA,NA,NA,22,5,NA,"FALSE"
"21",3,9,2012-10-09,5.7,1,NA,NA,NA,23,5,NA,"FALSE"
"22",4,1,2013-08-20,6.6,1,11,NA,NA,25,1,"December 28, 2014","FALSE"
"23",4,2,2013-08-27,6.65,1,12,NA,NA,26,1,"January 4, 2015","FALSE"
"24",4,3,2013-09-03,7.17,1,13,NA,NA,27,1,"January 11, 2015","FALSE"
"25",4,4,2013-09-10,6.82,1,18,NA,NA,28,1,"January 18, 2015","FALSE"
"26",4,5,2013-09-17,6.95,1,17,NA,NA,29,1,"January 25, 2015","FALSE"
"27",4,6,2013-09-24,7.32,1,16,NA,NA,30,1,"February 1, 2015","FALSE"
"28",4,7,2013-10-01,7.76,1,13,NA,NA,31,1,"February 8, 2015","FALSE"
"29",4,8,2013-10-08,7.41,1,12,NA,NA,32,1,"February 15, 2015","FALSE"
"30",4,9,2013-10-15,7.41,1,18,NA,NA,33,1,"February 22, 2015","FALSE"
"31",5,1,2014-08-06,8.51,1,1,NA,NA,35,2,"September 6, 2015","FALSE"
"32",5,2,2014-08-13,8.79,1,1,NA,NA,36,2,"September 13, 2015","FALSE"
"33",5,3,2014-08-20,9.28,1,1,NA,NA,37,2,"September 20, 2015","FALSE"
"34",5,4,2014-08-27,10.25,1,2,NA,NA,38,2,"September 27, 2015","FALSE"
"35",5,5,2014-09-03,9.95,1,2,NA,NA,39,2,"October 4, 2015","FALSE"
"36",5,6,2014-09-10,10.13,1,2,NA,NA,40,2,"October 11, 2015","FALSE"
"37",5,7,2014-09-17,10.28,1,2,NA,NA,41,2,"October 18, 2015","FALSE"
"38",5,8,2014-09-24,9.023,2,4,NA,NA,42,2,"October 25, 2015","FALSE"
"39",5,9,2014-10-01,10.67,1,1,NA,NA,43,2,"November 1, 2015","FALSE"
"40",6,1,2015-08-05,11.62,11.73,1,1,2063000,45,3,"July 1, 2016","FALSE"
"41",6,2,2015-08-12,11.59,11.84,1,1,1977000,46,3,"July 8, 2016","FALSE"
"42",6,3,2015-08-19,12.01,NA,1,1,1760000,47,3,"July 15, 2016","FALSE"
"43",6,4,2015-08-26,12.36,12.67,1,1,1539000,48,3,"July 15, 2016","FALSE"
"44",6,5,2015-09-02,12.39,12.63,1,1,1930000,49,3,"July 22, 2016","FALSE"
"45",6,6,2015-09-09,12,12.26,1,1,1869000,50,3,"July 22, 2016","FALSE"
"46",6,7,2015-09-16,12.35,12.58,1,1,1841000,51,3,"July 29, 2016","FALSE"
"47",6,8,2015-09-23,11.09,11.35,1,1,1748000,52,3,"July 29, 2016","FALSE"
"48",6,9,2015-09-30,12.65,12.78,1,1,1370000,53,3,"August 5, 2016","FALSE"
"49",7,1,2016-08-24,13.58,13.86,1,1,1989000,55,4,"June 16, 2017","FALSE"
"50",7,2,2016-08-31,13.45,13.74,1,1,1949000,56,4,"June 16, 2017","FALSE"
"51",7,3,2016-09-07,13.01,13.38,1,1,2314000,57,4,"June 23, 2017","FALSE"
"52",7,4,2016-09-14,13.29,13.88,1,1,2291000,58,4,"June 30, 2017","FALSE"
"53",7,5,2016-09-21,13.12,13.33,1,1,1984000,59,4,"July 7, 2017","FALSE"
"54",7,6,2016-09-28,13.13,13.41,1,1,1397000,60,4,"July 14, 2017","FALSE"
"55",7,7,2016-10-05,13.45,13.72,1,1,2154000,61,4,"July 21, 2017","FALSE"
"56",7,8,2016-10-12,13.26,13.45,1,1,1957000,62,4,"July 28, 2017","FALSE"
"57",7,9,2016-10-19,13.44,13.65,1,1,1901000,63,4,"August 4, 2017","FALSE"
"58",8,1,2017-08-29,9.46,9.72,1,1,NA,65,NA,NA,"FALSE"
"59",8,2,2017-09-05,9.23,9.53,1,2,NA,66,NA,NA,"FALSE"
"60",8,3,2017-09-12,8.68,9.06,1,2,NA,67,NA,NA,"FALSE"
"61",8,4,2017-09-19,8.55,8.87,1,3,NA,68,NA,NA,"FALSE"
"62",8,5,2017-09-26,8.61,8.98,1,4,NA,69,NA,NA,"FALSE"
"63",8,6,2017-10-03,8.61,8.91,1,4,NA,70,NA,NA,"FALSE"
"64",8,7,2017-10-10,9.01,9.32,1,3,NA,71,NA,NA,"FALSE"
"65",8,8,2017-10-17,8.95,9.19,1,4,NA,72,NA,NA,"FALSE"
"66",8,9,2017-10-24,9.03,9.16,1,4,NA,73,NA,NA,"FALSE"
"67",9,1,2018-08-28,9.55,9.92,1,3,NA,75,NA,NA,"FALSE"
"68",9,2,2018-09-04,9.31,9.76,1,3,NA,76,NA,NA,"FALSE"
"69",9,3,2018-09-11,8.91,9.35,1,2,NA,77,NA,NA,"FALSE"
"70",9,4,2018-09-18,8.88,9.41,1,3,NA,78,NA,NA,"FALSE"
"71",9,5,2018-09-25,8.67,9.15,1,3,NA,79,NA,NA,"FALSE"
"72",9,6,2018-10-02,8.91,9.3,1,4,NA,80,NA,NA,"FALSE"
"73",9,7,2018-10-09,9.22,9.54,1,3,NA,81,NA,NA,"FALSE"
"74",9,8,2018-10-16,9.69,9.93,1,2,NA,82,NA,NA,"FALSE"
"75",9,9,2018-10-23,9.5,9.7,1,3,NA,83,NA,NA,"FALSE"
"76",10,1,2019-08-27,9.62,10.03,1,1,NA,85,NA,NA,"FALSE"
"77",10,2,2019-09-03,9.38,9.8,1,1,NA,86,NA,NA,"FALSE"
"78",10,3,2019-09-10,8.94,9.42,1,1,NA,87,NA,NA,"FALSE"
"79",10,4,2019-09-17,8.96,9.49,1,2,NA,88,NA,NA,"FALSE"
"80",10,5,2019-09-24,9.26,9.64,1,2,NA,89,NA,NA,"FALSE"
"81",10,6,2019-10-01,8.7,9.19,1,3,NA,90,NA,NA,"FALSE"
"82",10,7,2019-10-08,8.98,9.42,1,3,NA,91,NA,NA,"FALSE"
"83",10,8,2019-10-15,9.19,9.48,1,3,NA,92,NA,NA,"FALSE"
"84",10,9,2019-10-22,9.34,9.67,1,3,NA,93,NA,NA,"FALSE"
"85",1,6,2010-09-21,2.75,1,NA,NA,NA,6,NA,NA,"TRUE"
"86",2,8,2011-10-04,5.06,1,NA,NA,NA,14,NA,NA,"TRUE"
"87",3,10,2012-10-16,6.74,1,NA,NA,NA,24,5,NA,"TRUE"
"88",4,10,2013-10-22,9.45,1,4,NA,NA,34,1,"March 1, 2015","TRUE"
"89",5,10,2014-10-08,13.51,1,1,NA,NA,44,2,"November 8, 2015","TRUE"
"90",6,10,2015-10-07,15.05,15.16,1,1,1619000,54,3,"August 12, 2016","TRUE"
"91",7,10,2016-10-26,15.9,16.03,1,1,1602000,64,4,"August 4, 2017","TRUE"
"92",8,10,2017-10-31,10.04,10.13,1,4,NA,74,NA,NA,"TRUE"
"93",9,10,2018-10-30,10.34,10.54,1,2,NA,84,NA,NA,"TRUE"
"94",10,10,2019-10-29,10.05,10.21,1,3,NA,94,NA,NA,"TRUE"
